ID do pedido,Data,Cod. Produto,ID Loja,Quantidade,Valor Unitario,Valor Total
14242,44197,TR0002,L90011,5,5.37,26.85
32104,44197,BA0001,L90011,1,50.42,50.42
36203,44197,GO0003,L90011,2,56.29,112.58
45805,44197,BO0002,L90011,1,16.42,16.42
54884,44197,TR0001,L90011,1,8.06,8.06
55175,44197,BO0004,L90011,2,67.43,134.86
67680,44197,GO0002,L90011,1,84.3,84.3
88883,44197,BO0001,L90011,1,14.74,14.74
93647,44197,GO0003,L90011,2,69.04,138.08
101909,44197,TR0001,L90011,2,8.06,16.12
104465,44197,TR0002,L90011,1,5.37,5.37
40282,44198,BO0001,L90011,1,14.74,14.74
45713,44198,TR0004,L90011,2,8.87,17.74
45866,44198,BO0001,L90011,1,14.74,14.74
49336,44198,BA0004,L90011,2,41.78,83.56
58520,44198,BO0004,L90013,2,67.43,134.86
64973,44198,TR0002,L90011,1,5.37,5.37
67603,44198,BO0002,L90013,2,16.42,32.84
72768,44198,GO0001,L90013,2,162.26,324.52
80827,44198,BA0001,L90013,2,21.71,43.42
90001,44198,BO0004,L90013,2,46.52,93.04
90798,44198,TR0002,L90013,1,5.37,5.37
97800,44198,TR0004,L90013,2,8.87,17.74
107637,44198,GO0003,L90013,2,50.42,100.84
25407,44199,GO0003,L90013,1,69.04,69.04
31374,44199,BA0001,L90013,2,56.29,112.58
39222,44199,BO0004,L90013,3,86.85,260.55
42787,44199,GO0001,L90013,3,162.26,486.78
50193,44199,TR0002,L90013,2,5.37,10.74
54304,44199,BA0003,L90013,2,33.76,67.52
61243,44199,GO0004,L90013,2,86.88,173.76
68724,44199,BO0004,L90013,1,86.85,86.85
78047,44199,GO0002,L90011,2,84.3,168.6
78125,44199,TR0001,L90011,3,8.06,24.18
79935,44199,BO0002,L90011,1,16.42,16.42
81584,44199,BO0004,L90011,3,56.29,168.87
85154,44199,GO0003,L90011,2,86.85,173.7
99541,44199,BO0004,L90011,2,56.29,112.58
105456,44199,BA0002,L90011,1,11.62,11.62
19866,44200,TR0004,L90011,4,8.87,35.48
21012,44200,TR0003,L90011,3,6.71,20.13
31800,44200,TR0004,L90011,1,8.87,8.87
34037,44200,BO0004,L90011,1,67.43,67.43
